"","deed","url"
"1","Petition of John Chandler Smith, 1862","https://civilwardc.org/texts/petitions/cww.00773.html"
"2","Petition of S. A. Elliott, 29 April 1862","https://civilwardc.org/texts/petitions/cww.00003.html"
"3","Petition of John Harry, 29 April 1862","https://civilwardc.org/texts/petitions/cww.00001.html"
"4","Petition of William B. Kibbey, 29 April 1862","https://civilwardc.org/texts/petitions/cww.00002.html"
"5","Petition of William Thomas, 1 May 1862","https://civilwardc.org/texts/petitions/cww.00004.html"
"6","Petition of Ann E. Beall, 2 May 1862","https://civilwardc.org/texts/petitions/cww.00006.html"
"7","Petition of Edgar H. Bates, 2 May 1862","https://civilwardc.org/texts/petitions/cww.00009.html"
"8","Petition of Noble Young, 2 May 1862","https://civilwardc.org/texts/petitions/cww.00008.html"
"9","Petition of John E. Bates, 2 May 1862","https://civilwardc.org/texts/petitions/cww.00007.html"
"10","Petition of Benjamin K. Morsell, 2 May 1862","https://civilwardc.org/texts/petitions/cww.00005.html"
"11","Petition of Julia A. Bryan, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00020.html"
"12","Petition of Elias Travers, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00033.html"
"13","Petition of Ann J. Brown, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00012.html"
"14","Petition of Sally F. Mathews, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00028.html"
"15","Petition of Jennings Pigott, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00019.html"
"16","Petition of Alexander Sword, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00011.html"
"17","Petition of Eliza W. Ringgold, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00029.html"
"18","Petition of Fanny B. Ewell, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00025.html"
"19","Petition of Hugh W. Throckmorton, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00018.html"
"20","Petition of Samuel Drury, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00017.html"
"21","Petition of John Dickson, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00023.html"
"22","Petition of Jesse Williams, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00032.html"
"23","Petition of Rufus H. Speake, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00034.html"
